,구별,연령별,시도간전입(2015),시도간전입(2016),시도간전입(2017),시도간전입(2018),시도간전입(2019),시도간전입(2020),시도간전입(2021),시도간전입(2022)
263,전라남도,45 - 49세,7575,6974,6878,6623,6537,6539,5994,5092
264,전라남도,50 - 54세,7209,6420,6257,6603,6442,6934,6695,5915
265,전라남도,55 - 59세,6492,6279,6426,6733,6323,6515,6660,5862
266,전라남도,60 - 64세,4268,4307,4499,4951,5194,5768,6202,5809
267,전라남도,65 - 69세,2839,2760,2852,2929,2877,3110,3312,3182
268,전라남도,70 - 74세,2020,1852,1775,1862,1892,1940,1938,1855
269,전라남도,75 - 79세,1598,1494,1590,1515,1471,1321,1248,1058
270,전라남도,80세이상,1966,1840,2040,2040,2159,2123,2054,1847
271,경상북도,계,135621,122298,117826,117291,120812,121223,130456,110012
272,경상북도,0 - 4세,6180,5585,4922,4354,4325,3831,3511,2455
273,경상북도,5 - 9세,3833,3847,3474,3385,3294,3364,3268,2483
274,경상북도,10 - 14세,3269,2758,2421,2557,2667,2624,2578,2246
275,경상북도,15 - 19세,6574,5822,5501,5257,5884,5150,5695,5180
276,경상북도,20 - 24세,14605,13293,13255,13176,14141,14050,16932,14960
277,경상북도,25 - 29세,17619,16214,16131,16817,17745,17689,20037,17196
278,경상북도,30 - 34세,16495,14063,12676,11767,11866,11766,12692,10804
279,경상북도,35 - 39세,11456,10593,10415,10159,10438,9991,9716,7610
280,경상북도,40 - 44세,10080,8607,7896,7701,7703,8057,8273,7043
281,경상북도,45 - 49세,9784,8610,8407,8323,8234,8079,8189,6583
282,경상북도,50 - 54세,9983,8467,8065,8112,8300,8324,8973,7368
283,경상북도,55 - 59세,9213,8373,8464,8605,8423,8587,9089,7579
284,경상북도,60 - 64세,6167,6099,6373,6659,7164,8101,9009,7735
285,경상북도,65 - 69세,3614,3483,3619,3905,3903,4452,5032,4610
286,경상북도,70 - 74세,2502,2315,2060,2119,2277,2528,2745,2521
287,경상북도,75 - 79세,2004,1775,1783,1815,1804,1820,1820,1357
288,경상북도,80세이상,2243,2394,2364,2580,2644,2810,2897,2282
289,경상남도,계,143676,134748,137304,123717,121503,124029,123510,106942
290,경상남도,0 - 4세,7981,7245,7665,6024,5458,4496,3881,2949
291,경상남도,5 - 9세,4932,4525,4909,4141,3975,3911,3684,2841
292,경상남도,10 - 14세,3757,3162,3276,2852,2709,2784,2791,2323
293,경상남도,15 - 19세,6392,5904,5733,5328,5203,5108,4799,4446
294,경상남도,20 - 24세,13998,13982,13179,12586,13052,13902,14494,13273
295,경상남도,25 - 29세,19389,18160,18003,17661,18385,18464,18735,16816
296,경상남도,30 - 34세,19459,17013,16620,13928,13187,12958,12922,11533
297,경상남도,35 - 39세,13987,13300,14332,12553,12114,11254,10306,8264
298,경상남도,40 - 44세,11100,9748,9903,8598,8588,8979,8793,7713
299,경상남도,45 - 49세,9448,9046,9435,8656,8045,8438,8008,6595
300,경상남도,50 - 54세,9022,8293,8185,7412,7516,7891,7973,7063
301,경상남도,55 - 59세,8030,8249,8628,7684,7269,7523,7397,6296
302,경상남도,60 - 64세,5869,6037,6633,6015,6152,7072,7739,6560
303,경상남도,65 - 69세,3651,3611,3945,3600,3478,4200,4611,4038
304,경상남도,70 - 74세,2565,2350,2404,2253,2164,2633,2816,2391
305,경상남도,75 - 79세,1777,1866,1958,1941,1760,1843,1763,1427
306,경상남도,80세이상,2319,2257,2496,2485,2448,2573,2798,2414
307,제주특별자치도,계,38544,40381,41752,39189,35158,36716,37102,34948
308,제주특별자치도,0 - 4세,2117,2235,2194,1927,1551,1430,1347,1218
309,제주특별자치도,5 - 9세,2093,2183,2263,2124,1777,2110,2211,1927
310,제주특별자치도,10 - 14세,1264,1235,1298,1245,1147,1226,1316,1166
311,제주특별자치도,15 - 19세,1590,1471,1548,1615,1409,1390,1189,1230
312,제주특별자치도,20 - 24세,3026,3399,3787,3487,3358,3628,3434,3428
313,제주특별자치도,25 - 29세,3682,3926,4537,4451,4346,4481,4775,4445
314,제주특별자치도,30 - 34세,4484,4430,4321,3924,3257,3435,3415,3131
315,제주특별자치도,35 - 39세,4333,4681,4832,4630,3916,3969,3799,3469
316,제주특별자치도,40 - 44세,4038,3961,3975,3550,3189,3291,3664,3550
317,제주특별자치도,45 - 49세,3154,3399,3721,3483,3086,3181,3067,2708
318,제주특별자치도,50 - 54세,2861,3025,2979,2756,2537,2666,2613,2673
319,제주특별자치도,55 - 59세,2432,2674,2621,2332,2132,2221,2163,2144
320,제주특별자치도,60 - 64세,1566,1760,1670,1734,1629,1702,1882,1808
321,제주특별자치도,65 - 69세,810,889,854,785,800,906,1022,948
322,제주특별자치도,70 - 74세,475,515,518,511,456,472,505,492
323,제주특별자치도,75 - 79세,277,320,335,307,293,287,338,258
324,제주특별자치도,80세이상,342,278,299,328,275,321,362,353
